
================================================================================
Monitoring Started: 2025-10-11 21:11:21
================================================================================
2025-10-11 21:13:34 | CPU: 5.4% | Freq: 3187MHz | Load: 0.16/0.11/0.05 | MEM: 93.0% | Used: 7.24GB | Avail: 560.22MB | Total: 7.79GB | SWAP: 19.3% | Per-Core: [20.3%, 16.7%, 20.0%, 9.2%, 28.8%, 7.8%, 18.8%, 12.5%]
2025-10-11 21:13:41 | CPU: 4.7% | Freq: 3187MHz | Load: 0.15/0.11/0.04 | MEM: 92.9% | Used: 7.24GB | Avail: 565.55MB | Total: 7.79GB | SWAP: 19.3% | Per-Core: [6.1%, 3.1%, 3.1%, 1.6%, 15.6%, 3.1%, 4.6%, 6.2%]
2025-10-11 21:13:48 | CPU: 4.1% | Freq: 3187MHz | Load: 0.13/0.10/0.04 | MEM: 92.9% | Used: 7.23GB | Avail: 567.09MB | Total: 7.79GB | SWAP: 19.3% | Per-Core: [0.0%, 0.0%, 3.1%, 0.0%, 12.3%, 1.6%, 1.5%, 1.6%]
2025-10-11 21:13:55 | CPU: 6.6% | Freq: 3187MHz | Load: 0.12/0.10/0.04 | MEM: 93.0% | Used: 7.25GB | Avail: 555.40MB | Total: 7.79GB | SWAP: 19.3% | Per-Core: [10.4%, 0.0%, 7.7%, 1.6%, 15.6%, 3.2%, 1.6%, 3.1%]
2025-10-11 21:14:02 | CPU: 5.6% | Freq: 3187MHz | Load: 0.10/0.10/0.04 | MEM: 93.2% | Used: 7.26GB | Avail: 539.05MB | Total: 7.79GB | SWAP: 19.3% | Per-Core: [7.7%, 7.9%, 6.2%, 3.1%, 10.9%, 0.0%, 9.4%, 6.2%]
2025-10-11 21:14:09 | CPU: 5.2% | Freq: 3187MHz | Load: 0.09/0.10/0.04 | MEM: 94.4% | Used: 7.36GB | Avail: 442.79MB | Total: 7.79GB | SWAP: 17.7% | Per-Core: [10.6%, 0.0%, 4.7%, 10.8%, 18.8%, 0.0%, 14.1%, 0.0%]
2025-10-11 21:14:16 | CPU: 5.6% | Freq: 3187MHz | Load: 0.08/0.10/0.04 | MEM: 90.3% | Used: 7.03GB | Avail: 772.95MB | Total: 7.79GB | SWAP: 19.7% | Per-Core: [1.6%, 0.0%, 0.0%, 1.6%, 9.4%, 1.6%, 3.1%, 3.1%]
2025-10-11 21:14:23 | CPU: 2.5% | Freq: 3187MHz | Load: 0.07/0.09/0.04 | MEM: 90.4% | Used: 7.04GB | Avail: 769.12MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [6.2%, 1.6%, 1.6%, 3.2%, 18.2%, 0.0%, 12.1%, 1.6%]
2025-10-11 21:14:30 | CPU: 9.3% | Freq: 3187MHz | Load: 0.06/0.09/0.04 | MEM: 90.2% | Used: 7.02GB | Avail: 781.74MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [3.1%, 0.0%, 3.1%, 0.0%, 18.8%, 1.6%, 0.0%, 1.6%]
2025-10-11 21:14:37 | CPU: 2.9% | Freq: 3187MHz | Load: 0.05/0.09/0.04 | MEM: 90.4% | Used: 7.04GB | Avail: 768.36MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [10.8%, 6.2%, 12.1%, 4.7%, 16.9%, 4.7%, 9.4%, 7.7%]
